year,count,win_rate,avg_return,median_return,total_pnl_yuan,avg_holding_days
2019,1042,0.4549,1.4651,-1.2547,1351200.86,35.5
2020,1035,0.4396,3.7804,-1.7565,9296189.02,34.8
2021,1455,0.4323,2.0166,-1.6771,6052949.37,34.2
2022,1132,0.3507,0.183,-2.5606,-890072.6,31.2
2023,1247,0.3016,-0.6532,-2.4359,-4372120.25,28.0
