date,ts_code,side,size,price,reason,episode
2019-02-21,002152.SZ,buy,28900,5.7505749999999995,initial_buy,1
2019-02-21,002195.SZ,buy,54400,3.0603059999999997,add_on,1
2019-02-21,002203.SZ,buy,21300,7.820782,initial_buy,1
2019-02-21,002244.SZ,buy,41800,3.9803980000000005,initial_buy,1
2019-02-21,002312.SZ,buy,49400,3.370337,initial_buy,1
2019-02-21,002340.SZ,buy,37700,4.4204419999999995,initial_buy,1
2019-02-21,002352.SZ,buy,4500,36.683668,initial_buy,1
2019-02-21,002409.SZ,buy,10500,15.791578999999999,add_on,1
2019-02-21,002436.SZ,buy,35300,4.710471,add_on,1
2019-02-21,002444.SZ,buy,16500,10.061006,initial_buy,1
2019-02-21,002532.SZ,buy,31900,5.210521,initial_buy,1
2019-02-21,002608.SZ,buy,21600,7.690769,add_on,1
2019-02-21,002624.SZ,buy,6000,27.542754000000002,add_on,1
2019-02-21,002673.SZ,buy,18400,9.010901,initial_buy,1
2019-02-21,002683.SZ,buy,19100,8.710871000000001,add_on,1
2019-02-21,002738.SZ,buy,10600,15.661566000000002,initial_buy,1
2019-02-21,002939.SZ,buy,14900,11.171116999999999,initial_buy,1
2019-02-21,300122.SZ,buy,4200,39.393939,add_on,1
2019-02-21,300144.SZ,buy,8000,20.762076,add_on,1
2019-02-21,300285.SZ,buy,14200,11.681168,add_on,1
2019-02-21,300308.SZ,sell,-1700,34.316568000000004,take_profit_1,1
2019-02-21,300390.SZ,buy,32400,5.140514,initial_buy,1
2019-02-21,300433.SZ,buy,21200,7.830783000000001,initial_buy,1
2019-02-21,300474.SZ,buy,4400,37.453745000000005,initial_buy,1
2019-02-21,300601.SZ,buy,4500,36.71,initial_buy,1
2019-02-21,300627.SZ,buy,9000,18.491849,initial_buy,1
2019-02-21,300677.SZ,buy,10000,16.641664,initial_buy,1
2019-02-21,600008.SH,buy,47000,3.5403539999999993,initial_buy,1
2019-02-21,600039.SH,buy,49000,3.40034,initial_buy,1
2019-02-21,600060.SH,buy,18700,8.90089,initial_buy,1
2019-02-21,600095.SH,buy,39600,4.20042,initial_buy,1
2019-02-21,600098.SH,buy,28200,5.910591,add_on,1
2019-02-21,600150.SH,buy,12300,13.451345,initial_buy,1
2019-02-21,600188.SH,buy,20600,8.070807,initial_buy,1
2019-02-21,600196.SH,buy,6700,24.742473999999998,add_on,1
2019-02-21,600219.SH,buy,75000,2.220222,initial_buy,1
2019-02-21,600295.SH,buy,20800,7.990798999999999,initial_buy,1
2019-02-21,600346.SH,buy,16800,9.920992,add_on,1
2019-02-21,600348.SH,buy,32300,5.150515,initial_buy,1
2019-02-21,600372.SH,buy,11200,14.791478999999999,add_on,1
2019-02-21,600378.SH,buy,17100,9.690968999999999,add_on,1
2019-02-21,600392.SH,buy,17800,9.350935,initial_buy,1
2019-02-21,600521.SH,buy,41800,11.961196000000001,initial_buy,1
2019-02-21,600536.SH,buy,6300,26.072607,add_on,1
2019-02-21,600549.SH,buy,12900,12.861286,initial_buy,1
2019-02-21,600562.SH,buy,11300,14.621462,add_on,1
2019-02-21,600598.SH,buy,19300,8.610861,initial_buy,1
2019-02-21,600663.SH,buy,14100,11.781177999999999,add_on,1
2019-02-21,600760.SH,buy,5100,32.40324,add_on,1
2019-02-21,600764.SH,buy,6400,25.712571000000004,initial_buy,1
2019-02-21,600803.SH,buy,15900,10.471047,initial_buy,1
2019-02-21,600848.SH,buy,7600,21.682168,add_on,1
2019-02-21,600879.SH,buy,26800,6.210621,add_on,1
2019-02-21,600884.SH,buy,11400,14.551455,initial_buy,1
2019-02-21,600893.SH,buy,6800,24.362436,initial_buy,1
2019-02-21,601018.SH,buy,46100,3.610361,add_on,1
