trade_date,open,high,low,close,volume,amount,pct_chg,circ_mv
2018-01-02,23.41,23.65,22.97,23.06,20728.01,110601.102,,14323165.2637
2018-01-03,23.11,23.23,22.78,23.05,27797.96,146896.171,-0.06,14315074.6036
2018-01-04,23.17,24.1,23.05,24.07,58570.46,319691.873,4.45,14951539.8648
2018-01-05,24.2,24.2,23.55,23.64,37049.88,203118.727,-1.77,14687244.9682
2018-01-08,23.42,23.82,23.1,23.42,27417.28,148020.942,-0.94,14549703.7465
2018-01-09,23.39,24.26,23.36,24.22,34455.11,189735.254,3.39,15043234.0126
2018-01-10,24.14,24.83,23.89,24.82,36236.79,204207.723,2.47,15415404.3772
2018-01-11,24.75,25.07,24.31,24.54,21675.97,123168.742,-1.12,15242803.6284
2018-01-12,24.55,24.87,24.17,24.79,18587.26,105197.54,1.04,15401919.9437
2018-01-15,25.06,25.56,24.63,25.12,25296.44,146136.49,1.33,15606883.3329
2018-01-16,25.12,25.98,24.84,25.37,38909.76,229100.482,0.98,15760605.8748
2018-01-17,25.38,25.58,24.01,24.86,44532.02,253798.183,-2.02,15442373.2442
2018-01-18,24.72,25.09,24.31,24.43,23686.93,134429.108,-1.71,15178078.3476
2018-01-19,24.4,24.86,24.14,24.63,18398.55,104249.695,0.78,15296741.3624
2018-01-22,24.54,25.35,24.4,24.89,29352.17,166995.657,1.06,15458554.5644
2018-01-23,24.9,25.13,24.66,24.79,26606.08,152480.257,-0.4,15396526.1703
2018-01-24,24.73,24.92,24.27,24.3,26954.03,151865.178,-1.98,15091777.9732
2018-01-25,24.4,24.52,24.01,24.13,26365.48,147307.688,-0.7,14986599.3919
2018-01-26,24.14,25.26,24.14,24.96,36415.14,208439.509,3.46,15504401.6383
2018-01-29,24.83,25.27,23.64,23.67,29316.29,164003.682,-5.17,14703426.2884
2018-01-30,23.66,23.68,23.25,23.31,19919.93,107719.546,-1.54,14476887.8056
2018-01-31,23.31,24.51,23.31,24.47,28584.86,158058.004,4.99,15199653.4412
2018-02-01,24.47,24.83,23.88,24.18,20823.46,116749.05,-1.17,15021658.919
2018-02-02,24.73,24.75,23.72,24.47,21319.19,120293.381,1.2,15202350.3279
2018-02-05,24.47,24.47,23.36,23.89,19208.49,105833.798,-2.38,14840967.5101
2018-02-06,23.01,23.4,22.15,22.4,40388.14,210799.415,-6.25,13913238.4853
2018-02-07,23.1,23.1,22.27,22.35,31948.51,166714.188,-0.23,13880875.8449
2018-02-08,22.08,22.89,22.08,22.65,23983.89,125016.682,1.34,14066961.0272
2018-02-09,22.0,22.7,20.69,22.39,43116.93,219248.277,-1.13,13907844.7119
2018-02-12,22.18,23.48,22.14,23.16,21737.31,114585.986,3.43,14385193.6578
2018-02-13,23.39,24.0,23.01,23.15,20221.24,109917.247,-0.04,14379799.8844
2018-02-14,22.9,23.57,22.9,23.38,15744.12,84370.641,1.01,14525431.7662
2018-02-22,23.82,24.36,23.4,24.32,26191.55,145398.308,4.01,15107959.2934
2018-02-23,24.36,24.75,23.9,24.02,25328.29,141257.441,-1.23,14921874.1111
2018-02-26,24.13,24.49,23.9,24.0,23876.38,132513.513,-0.07,14911086.5643
2018-02-27,24.1,24.18,23.4,23.88,20019.46,109596.683,-0.52,14832876.85
2018-02-28,23.58,24.47,23.58,24.01,24559.04,136337.463,0.55,14913783.451
2018-03-01,23.53,24.22,23.53,24.0,12517.93,69178.148,-0.02,14911086.5643
2018-03-02,23.91,24.85,23.81,24.31,29677.68,167193.967,1.27,15099868.6333
2018-03-05,24.44,24.61,23.93,24.36,9614.48,53638.486,0.2,15129534.387
2018-03-06,24.4,24.46,23.84,24.41,13960.35,77686.634,0.21,15161897.0274
2018-03-07,24.36,24.96,24.1,24.12,21673.64,122627.007,-1.19,14981205.6185
2018-03-08,24.07,24.6,23.92,24.37,20872.42,116693.426,1.06,15140321.9338
2018-03-09,24.44,25.72,24.31,25.61,45517.94,263508.581,5.06,15906237.7566
2018-03-12,25.82,25.82,25.13,25.43,24079.7,140684.052,-0.68,15798362.2886
